date,week_end,year,week_of_year,bank_holidays_in_week,has_bank_holiday,is_new_year_fitness,is_back_to_school,is_exam_season,is_q4_holiday_electronics,weeks_to_new_year_start,weeks_to_bts_start,weeks_to_exam_start,weeks_to_q4_start
2019-07-01,28/07/2019,2019,31,0,0,0,0,0,0,-26,6,-9,17
2019-08-01,25/08/2019,2019,35,1,1,0,1,0,0,-31,1,-14,12
2019-09-01,29/09/2019,2019,40,0,0,0,1,0,0,-35,-3,-18,8
2019-10-01,27/10/2019,2019,44,0,0,0,0,0,1,-40,-8,-23,3
2019-11-01,24/11/2019,2019,48,0,0,0,0,0,1,-44,-12,-27,-1
2019-12-01,29/12/2019,2019,52,2,1,0,0,0,1,-48,-16,-31,-5
2020-01-01,26/01/2020,2020,5,0,0,1,0,0,0,-1,31,16,42
2020-02-01,23/02/2020,2020,9,0,0,0,0,0,0,-5,27,12,38
2020-03-01,29/03/2020,2020,14,0,0,0,0,0,0,-9,23,8,34
2020-04-01,26/04/2020,2020,18,1,1,0,0,1,0,-14,18,3,29
2020-05-01,31/05/2020,2020,22,1,1,0,0,1,0,-18,14,-1,25
2020-06-01,28/06/2020,2020,27,0,0,0,0,1,0,-22,10,-5,21
2020-07-01,26/07/2020,2020,31,0,0,0,0,0,0,-27,5,-10,16
2020-08-01,30/08/2020,2020,36,1,1,0,1,0,0,-31,1,-14,12
2020-09-01,27/09/2020,2020,40,0,0,0,1,0,0,-36,-4,-19,7
2020-10-01,25/10/2020,2020,44,0,0,0,0,0,1,-40,-8,-23,3
2020-11-01,29/11/2020,2020,49,0,0,0,0,0,1,-44,-12,-27,-1
2020-12-01,27/12/2020,2020,53,2,1,0,0,0,1,-49,-17,-32,-6
2021-01-01,31/01/2021,2021,4,0,0,1,0,0,0,-1,31,16,43
2021-02-01,28/02/2021,2021,8,0,0,0,0,0,0,-5,27,12,39
2021-03-01,28/03/2021,2021,13,1,1,0,0,0,0,-9,23,8,35
2021-04-01,25/04/2021,2021,17,1,1,0,0,1,0,-14,18,3,30
2021-05-01,30/05/2021,2021,22,1,1,0,0,1,0,-18,14,-1,26
2021-06-01,27/06/2021,2021,26,0,0,0,0,1,0,-23,9,-6,21
2021-07-01,25/07/2021,2021,30,0,0,0,0,0,0,-27,5,-10,17
2021-08-01,29/08/2021,2021,35,1,1,0,1,0,0,-31,1,-14,13
2021-09-01,26/09/2021,2021,39,0,0,0,1,0,0,-36,-4,-19,8
2021-10-01,31/10/2021,2021,43,0,0,0,0,0,0,-40,-8,-23,4
2021-11-01,28/11/2021,2021,48,0,0,0,0,0,1,-44,-12,-27,0
2021-12-01,26/12/2021,2021,52,2,1,0,0,0,1,-49,-17,-32,-5
2022-01-01,30/01/2022,2022,5,0,0,1,0,0,0,-1,32,16,43
2022-02-01,27/02/2022,2022,9,0,0,0,0,0,0,-6,27,11,38
2022-03-01,27/03/2022,2022,13,0,0,0,0,0,0,-10,23,7,34
2022-04-01,24/04/2022,2022,17,1,1,0,0,1,0,-14,19,3,30
2022-05-01,29/05/2022,2022,22,1,1,0,0,1,0,-18,15,-1,26
2022-06-01,26/06/2022,2022,26,0,0,0,0,1,0,-23,10,-6,21
2022-07-01,31/07/2022,2022,30,0,0,0,0,0,0,-27,6,-10,17
2022-08-01,28/08/2022,2022,35,1,1,0,1,0,0,-31,2,-14,13
2022-09-01,25/09/2022,2022,39,0,0,0,1,0,0,-36,-3,-19,8
2022-10-01,30/10/2022,2022,44,0,0,0,0,0,1,-40,-7,-23,4
2022-11-01,27/11/2022,2022,48,0,0,0,0,0,1,-45,-12,-28,-1
2022-12-01,25/12/2022,2022,52,2,1,0,0,0,1,-49,-16,-32,-5
2023-01-01,29/01/2023,2023,5,0,0,1,0,0,0,-1,32,17,43
2023-02-01,26/02/2023,2023,9,0,0,0,0,0,0,-6,27,12,38
2023-03-01,26/03/2023,2023,13,0,0,0,0,0,0,-10,23,8,34
2023-04-01,30/04/2023,2023,17,1,1,0,0,0,0,-14,19,4,30
2023-05-01,28/05/2023,2023,22,1,1,0,0,1,0,-18,15,0,26
2023-06-01,25/06/2023,2023,26,0,0,0,0,1,0,-23,10,-5,21
2023-07-01,30/07/2023,2023,31,0,0,0,0,0,0,-27,6,-9,17
2023-08-01,27/08/2023,2023,35,1,1,0,1,0,0,-32,1,-14,12
2023-09-01,24/09/2023,2023,39,0,0,0,1,0,0,-36,-3,-18,8
2023-10-01,29/10/2023,2023,44,0,0,0,0,0,1,-40,-7,-22,4
2023-11-01,26/11/2023,2023,48,0,0,0,0,0,1,-45,-12,-27,-1
2023-12-01,31/12/2023,2023,52,2,1,0,0,0,1,-49,-16,-31,-5
2024-01-01,28/01/2024,2024,5,1,1,1,0,0,0,0,32,17,43
2024-02-01,25/02/2024,2024,9,0,0,0,0,0,0,-5,27,12,38
2024-03-01,31/03/2024,2024,13,1,1,0,0,0,0,-9,23,8,34
2024-04-01,28/04/2024,2024,18,1,1,0,0,1,0,-13,19,4,30
2024-05-01,26/05/2024,2024,22,1,1,0,0,1,0,-18,14,-1,25
2024-06-01,30/06/2024,2024,26,0,0,0,0,1,0,-22,10,-5,21
2024-07-01,28/07/2024,2024,31,0,0,0,0,0,0,-26,6,-9,17
2024-08-01,25/08/2024,2024,35,1,1,0,1,0,0,-31,1,-14,12
2024-09-01,29/09/2024,2024,40,0,0,0,1,0,0,-35,-3,-18,8
2024-10-01,27/10/2024,2024,44,0,0,0,0,0,1,-40,-8,-23,3
2024-11-01,24/11/2024,2024,48,0,0,0,0,0,1,-44,-12,-27,-1
2024-12-01,29/12/2024,2024,52,2,1,0,0,0,1,-48,-16,-31,-5
2025-01-01,26/01/2025,2025,5,0,0,1,0,0,0,-1,31,16,42
2025-02-01,23/02/2025,2025,9,0,0,0,0,0,0,-5,27,12,38
2025-03-01,30/03/2025,2025,14,0,0,0,0,0,0,-9,23,8,34
2025-04-01,27/04/2025,2025,18,1,1,0,0,1,0,-14,18,3,29
2025-05-01,25/05/2025,2025,22,1,1,0,0,1,0,-18,14,-1,25
2025-06-01,29/06/2025,2025,27,0,0,0,0,1,0,-22,10,-5,21
2025-07-01,27/07/2025,2025,31,0,0,0,0,0,0,-27,5,-10,16
2025-08-01,31/08/2025,2025,35,1,1,0,1,0,0,-31,1,-14,12
2025-09-01,28/09/2025,2025,40,0,0,0,1,0,0,-35,-3,-18,8
2025-10-01,26/10/2025,2025,44,0,0,0,0,0,1,-40,-8,-23,3
