model,origin_time,forecast_time,horizon_step,y_true,y_pred,abs_error,squared_error,sMAPE_point,is_new_year_fitness,is_back_to_school,is_exam_season,is_q4_holiday_electronics
time_regression,1992-12-21,1992-12-28,1,13.2,16.917317901521074,3.717317901521074,13.818452380969044,0.246855839797961,False,False,False,True
time_regression,1992-12-21,1993-01-04,2,13.35,17.018726024168018,3.668726024168018,13.459550640407674,0.24161211249022269,True,False,False,False
time_regression,1992-12-21,1993-01-11,3,13.35,17.033720509945397,3.683720509945397,13.569796795392376,0.2424798838404018,True,False,False,False
time_regression,1992-12-21,1993-01-18,4,13.35,17.048714995722776,3.698714995722776,13.680492619584536,0.24334679911589685,True,False,False,False
time_regression,1993-01-18,1993-01-25,1,13.35,16.801450211495194,3.451450211495194,11.91250856243022,0.2289409091294278,True,False,False,False
time_regression,1993-01-18,1993-02-01,2,13.225,16.72527905670563,3.500279056705631,12.251953474812064,0.23373932844354892,False,False,False,False
time_regression,1993-01-18,1993-02-08,3,13.225,16.741554508819718,3.516554508819718,12.366155613500288,0.2346986209432072,False,False,False,False
time_regression,1993-01-18,1993-02-15,4,13.225,16.757829960934032,3.5328299609340323,12.480887532873156,0.23565687198554067,False,False,False,False
time_regression,1993-02-15,1993-02-22,1,13.225,17.31719869372546,4.092198693725459,16.746090148928353,0.26797014417735115,False,False,False,False
time_regression,1993-02-15,1993-03-01,2,10.5,17.242465759372863,6.7424657593728625,45.46084451631547,0.4860754496629344,False,False,False,False
time_regression,1993-02-15,1993-03-08,3,10.5,17.2564005819645,6.756400581964499,45.64894882397022,0.48683550030292183,False,False,False,False
time_regression,1993-02-15,1993-03-15,4,10.5,17.270335404556135,6.7703354045561355,45.83744149018629,0.4875947881742445,False,False,False,False
time_regression,1993-03-15,1993-03-22,1,10.5,13.300703008354674,2.800703008354674,7.84393734100692,0.23534624228297402,False,False,False,False
time_regression,1993-03-15,1993-03-29,2,10.5,13.330444783250016,2.830444783250016,8.01141767102723,0.2375486323477675,False,False,False,False
time_regression,1993-03-15,1993-04-05,3,13.25,13.205544944384258,0.04445505561574237,0.001976251969798747,0.0033607363378223573,False,False,False,False
time_regression,1993-03-15,1993-04-12,4,13.25,13.2352867192796,0.014713280720400235,0.00021648062955730124,0.0011110531576529927,False,False,False,False
time_regression,1993-04-12,1993-04-19,1,13.25,17.55063728578216,4.300637285782159,18.495481063859735,0.2792563832935606,False,False,False,False
time_regression,1993-04-12,1993-04-26,2,13.25,17.564368142784133,4.314368142784133,18.613772471470607,0.2800231452284014,False,False,True,False
time_regression,1993-04-12,1993-05-03,3,10.620000000000001,17.49448191507281,6.87448191507281,47.258501600663124,0.48903493479545457,False,False,True,False
time_regression,1993-04-12,1993-05-10,4,10.620000000000001,17.50821277207433,6.888212772074329,47.447475193367914,0.48977251614883555,False,False,True,False
time_regression,1993-05-10,1993-05-17,1,10.620000000000001,13.82283031436316,3.2028303143631582,10.258122022603606,0.26206705796104984,False,False,True,False
time_regression,1993-05-10,1993-05-24,2,10.620000000000001,13.850548001299899,3.2305480012998977,10.436440388702763,0.2640356073046086,False,False,True,False
time_regression,1993-05-10,1993-05-31,3,10.620000000000001,13.878265688236525,3.2582656882365235,10.616295295139427,0.26599970215859514,False,False,True,False
time_regression,1993-05-10,1993-06-07,4,13.525,13.760770612543638,0.23577061254363763,0.0555877817392021,0.017281579904160793,False,False,True,False
time_regression,1993-06-07,1993-06-14,1,13.525,18.006426671029658,4.4814266710296575,20.08318500781596,0.28425143700504285,False,False,True,False
time_regression,1993-06-07,1993-06-21,2,13.525,18.018848185346997,4.493848185346996,20.194671512946492,0.2849270741440174,False,False,True,False
time_regression,1993-06-07,1993-06-28,3,13.525,18.03126969966388,4.50626969966388,20.3064666061088,0.28560217938002214,False,False,True,False
