model,origin_time,start_forecast_time,end_forecast_time,n_points,MAE,RMSE,sMAPE
event_random_forest,1992-12-21,1992-12-28,1993-01-18,4,0.16141247121645197,0.19169444352385537,3.7239916997230647
event_random_forest,1993-03-15,1993-03-22,1993-04-12,4,0.45934206107268905,0.5697633194837312,11.060283405609557
event_random_forest,1993-06-07,1993-06-14,1993-07-05,4,0.36131124042087337,0.37061874475209877,7.896034683363579
event_random_forest,1993-08-30,1993-09-06,1993-09-27,4,0.8712561600651209,0.8712710112245295,19.962996711383674
event_random_forest,1993-11-22,1993-11-29,1993-12-20,4,0.5059455762645144,0.5790607986870757,11.012323035554926
event_random_forest,1994-02-14,1994-02-21,1994-03-14,4,0.3279467197297177,0.3339505038324572,7.02339807209537
event_random_forest,1994-05-09,1994-05-16,1994-06-06,4,0.43421436539049907,0.4797088505745909,9.977692009527324
event_random_forest,1994-08-01,1994-08-08,1994-08-29,4,0.3961335763228493,0.4048817994207146,9.462064303640298
event_random_forest,1994-10-24,1994-10-31,1994-11-21,4,0.6214804813552117,0.7022429595751237,13.428135716935678
event_random_forest,1995-01-16,1995-01-23,1995-02-13,4,0.4645798093187754,0.6153682736764454,9.946920166869859
event_random_forest,1995-04-10,1995-04-17,1995-05-08,4,0.46317039710053387,0.6543170667692686,10.615262355497807
event_random_forest,1995-07-03,1995-07-10,1995-07-31,4,0.26952424858671975,0.2719370913651701,6.272226106122215
event_random_forest,1995-09-25,1995-10-02,1995-10-23,4,0.8859789843274684,0.885980220758838,18.919085213726444
event_random_forest,1995-12-18,1995-12-25,1996-01-15,4,0.4321572781353602,0.5064896591224597,9.349618175605134
event_random_forest,1996-03-11,1996-03-18,1996-04-08,4,0.3301074069326646,0.4225989670208664,6.755804554439975
event_random_forest,1996-06-03,1996-06-10,1996-07-01,4,0.5315047955460852,0.5487853535015155,10.09377408383167
event_random_forest,1996-08-26,1996-09-02,1996-09-23,4,0.9180603020353577,0.9180603360781335,18.07550396711648
event_random_forest,1996-11-18,1996-11-25,1996-12-16,4,0.7781366990445993,0.8868533622604168,15.630678456198382
event_random_forest,1997-02-10,1997-02-17,1997-03-10,4,0.4600000000000004,0.5915638783554067,8.78409627064976
event_random_forest,1997-05-05,1997-05-12,1997-06-02,4,0.2706847380913928,0.49083522888506287,5.313634829756038
event_random_forest,1997-07-28,1997-08-04,1997-08-25,4,0.3242205509119198,0.3292242389911034,5.967908629026802
event_random_forest,1997-10-20,1997-10-27,1997-11-17,4,0.4142622797201574,0.42668319562045504,7.486578107390292
event_random_forest,1998-01-12,1998-01-19,1998-02-09,4,0.48366031205577786,0.5204435457294505,8.22037765419335
event_random_forest,1998-04-06,1998-04-13,1998-05-04,4,0.21146729203528936,0.33191029047414744,3.4768463119808892
