model,origin_time,start_forecast_time,end_forecast_time,n_points,MAE,RMSE,sMAPE
seasonal_naive,1992-12-21,1992-12-28,1993-01-18,4,1.2149999999999999,1.734906337529493,10.154262086513993
seasonal_naive,1993-01-18,1993-01-25,1993-02-15,4,0.5187500000000003,0.5188629395129318,3.9918069592998027
seasonal_naive,1993-02-15,1993-02-22,1993-03-15,4,0.5062500000000001,0.5063657275132275,4.671072747371641
seasonal_naive,1993-03-15,1993-03-22,1993-04-12,4,0.375,0.39528470752104744,3.391405342624855
seasonal_naive,1993-04-12,1993-04-19,1993-05-10,4,1.1774999999999993,1.4989204448535611,9.969301063753832
seasonal_naive,1993-05-10,1993-05-17,1993-06-07,4,1.9187499999999997,2.1843005173281442,16.357811064459824
seasonal_naive,1993-06-07,1993-06-14,1993-07-05,4,2.5075000000000003,2.7684968845927935,20.912553149092997
seasonal_naive,1993-07-05,1993-07-12,1993-08-02,4,0.4512499999999995,0.45312112067304866,3.5747883349012186
seasonal_naive,1993-08-02,1993-08-09,1993-08-30,4,0.379999999999999,0.379999999999999,3.5747883349012133
seasonal_naive,1993-08-30,1993-09-06,1993-09-27,4,0.45000000000000107,0.45000000000000107,3.415559772296023
seasonal_naive,1993-09-27,1993-10-04,1993-10-25,4,0.42499999999999893,0.42499999999999893,3.2045240339302468
seasonal_naive,1993-10-25,1993-11-01,1993-11-22,4,0.23999999999999844,0.23999999999999844,2.298850574712629
seasonal_naive,1993-11-22,1993-11-29,1993-12-20,4,0.5100000000000007,0.5332916650389363,3.908045977011499
seasonal_naive,1993-12-20,1993-12-27,1994-01-17,4,1.9725000000000001,2.1257175259191894,16.129652520258208
seasonal_naive,1994-01-17,1994-01-24,1994-02-14,4,1.19625,1.6747518472896212,9.87385415429879
seasonal_naive,1994-02-14,1994-02-21,1994-03-14,4,2.30625,2.6629107664358562,19.149381535825896
seasonal_naive,1994-03-14,1994-03-21,1994-04-11,4,1.75,2.2886950430321638,14.339770996117743
seasonal_naive,1994-04-11,1994-04-18,1994-05-09,4,0.2674999999999992,0.26760511953249244,2.2363798232471206
seasonal_naive,1994-05-09,1994-05-16,1994-06-06,4,0.20749999999999824,0.22655021518418206,1.9062044108813025
seasonal_naive,1994-06-06,1994-06-13,1994-07-04,4,0.0687499999999992,0.07603453162872723,0.5067435678956547
seasonal_naive,1994-07-04,1994-07-11,1994-08-01,4,0.13375000000000004,0.13460590625971808,1.0569448781681763
seasonal_naive,1994-08-01,1994-08-08,1994-08-29,4,0.16000000000000014,0.16000000000000014,1.467889908256882
seasonal_naive,1994-08-29,1994-09-05,1994-09-26,4,0.40000000000000036,0.40000000000000036,2.9411764705882377
seasonal_naive,1994-09-26,1994-10-03,1994-10-24,4,2.494999999999999,2.494999999999999,20.404825189122874
seasonal_naive,1994-10-24,1994-10-31,1994-11-21,4,2.253750000000002,2.4900338853116053,18.892378767370293
seasonal_naive,1994-11-21,1994-11-28,1994-12-19,4,0.8850000000000016,1.445691875885039,7.205359514079874
seasonal_naive,1994-12-19,1994-12-26,1995-01-16,4,0.41624999999999934,0.4306463165986668,3.781745420963515
seasonal_naive,1995-01-16,1995-01-23,1995-02-13,4,0.4274999999999993,0.43071162046083616,3.642539848445251
seasonal_naive,1995-02-13,1995-02-20,1995-03-13,4,0.27499999999999947,0.2926174977679903,2.03696203610939
seasonal_naive,1995-03-13,1995-03-20,1995-04-10,4,0.08749999999999947,0.12374368670764506,0.6416131989000878
seasonal_naive,1995-04-10,1995-04-17,1995-05-08,4,0.0,0.0,0.0
seasonal_naive,1995-05-08,1995-05-15,1995-06-05,4,0.04375000000000018,0.08750000000000036,0.320219579139983
seasonal_naive,1995-06-05,1995-06-12,1995-07-03,4,0.8437500000000004,1.4330365487313992,6.7888795963156525
seasonal_naive,1995-07-03,1995-07-10,1995-07-31,4,2.1824999999999997,2.4698127459384445,17.897885717182977
seasonal_naive,1995-07-31,1995-08-07,1995-08-28,4,2.594999999999999,2.594999999999999,21.13622480146609
seasonal_naive,1995-08-28,1995-09-04,1995-09-25,4,0.125,0.125,0.9017132551848511
seasonal_naive,1995-09-25,1995-10-02,1995-10-23,4,0.11999999999999922,0.11999999999999922,1.0869565217391235
seasonal_naive,1995-10-23,1995-10-30,1995-11-20,4,0.5174999999999987,0.5661051139143671,3.8171936758893183
seasonal_naive,1995-11-20,1995-11-27,1995-12-18,4,0.7062500000000007,0.7069962871189643,5.083163473298008
seasonal_naive,1995-12-18,1995-12-25,1996-01-15,4,0.49624999999999897,0.5135233685042964,4.258194909366503
seasonal_naive,1996-01-15,1996-01-22,1996-02-12,4,0.48499999999999943,0.48933628518637323,3.9502482521025373
seasonal_naive,1996-02-12,1996-02-19,1996-03-11,4,0.47499999999999964,0.4808846015417834,3.4329627207325024
seasonal_naive,1996-03-11,1996-03-18,1996-04-08,4,1.0225,1.1970850011590661,7.92964878066236
seasonal_naive,1996-04-08,1996-04-15,1996-05-06,4,1.915000000000001,2.1076616189512025,15.377073188281813
seasonal_naive,1996-05-06,1996-05-13,1996-06-03,4,2.7025000000000006,2.9394174592935935,21.356534672186903
seasonal_naive,1996-06-03,1996-06-10,1996-07-01,4,0.7499999999999991,0.754983443527074,5.723404255319142
seasonal_naive,1996-07-01,1996-07-08,1996-07-29,4,0.8999999999999986,0.8999999999999986,7.999999999999988
seasonal_naive,1996-07-29,1996-08-05,1996-08-26,4,1.0250000000000004,1.0250000000000004,7.275953859804794
seasonal_naive,1996-08-26,1996-09-02,1996-09-23,4,2.0250000000000004,2.0250000000000004,15.682478218780252
seasonal_naive,1996-09-23,1996-09-30,1996-10-21,4,3.0312500000000004,3.2936254720292655,23.538937942001095
seasonal_naive,1996-10-21,1996-10-28,1996-11-18,4,2.050000000000001,2.2791171536364696,14.734956932785915
seasonal_naive,1996-11-18,1996-11-25,1996-12-16,4,2.06375,2.0915559399643127,15.35961093009621
seasonal_naive,1996-12-16,1996-12-23,1997-01-13,4,2.817500000000001,3.047722510334562,22.138561305975905
seasonal_naive,1997-01-13,1997-01-20,1997-02-10,4,2.3575,2.8255287115865593,18.016514326835935
seasonal_naive,1997-02-10,1997-02-17,1997-03-10,4,1.334999999999999,1.4382106938832007,9.92844382619605
seasonal_naive,1997-03-10,1997-03-17,1997-04-07,4,1.82125,2.1344100472964422,13.771828967491182
seasonal_naive,1997-04-07,1997-04-14,1997-05-05,4,2.7087500000000007,2.92434073767063,19.876532483648162
seasonal_naive,1997-05-05,1997-05-12,1997-06-02,4,1.1325000000000003,1.2705215464524795,8.07389709585255
seasonal_naive,1997-06-02,1997-06-09,1997-06-30,4,1.7524999999999995,1.8705012697135486,13.225593041784066
seasonal_naive,1997-06-30,1997-07-07,1997-07-28,4,3.8000000000000007,3.8000000000000007,27.94117647058824
seasonal_naive,1997-07-28,1997-08-04,1997-08-25,4,0.75,0.75,5.008347245409015
seasonal_naive,1997-08-25,1997-09-01,1997-09-22,4,0.47999999999999865,0.47999999999999865,3.9538714991762656
seasonal_naive,1997-09-22,1997-09-29,1997-10-20,4,0.7574999999999994,0.7742577090349176,5.155134541460732
seasonal_naive,1997-10-20,1997-10-27,1997-11-17,4,0.3999999999999999,0.47696960070847266,2.5850611376927164
seasonal_naive,1997-11-17,1997-11-24,1997-12-15,4,0.25749999999999984,0.25753640519351806,2.001024822458026
seasonal_naive,1997-12-15,1997-12-22,1998-01-12,4,0.5549999999999997,0.6285300311043217,3.8642531245945575
seasonal_naive,1998-01-12,1998-01-19,1998-02-09,4,0.6124999999999998,0.6569341671735454,4.032656094068642
seasonal_naive,1998-02-09,1998-02-16,1998-03-09,4,0.28749999999999964,0.30052038200428244,2.057621524887065
seasonal_naive,1998-03-09,1998-03-16,1998-04-06,4,0.15624999999999956,0.17365554986812196,1.2725443208314942
seasonal_naive,1998-04-06,1998-04-13,1998-05-04,4,0.13750000000000018,0.23848480035423625,0.8998300954430307
seasonal_naive,1998-05-04,1998-05-11,1998-06-01,4,0.4362499999999998,0.4413827703932266,2.9882299780522428
seasonal_naive,1998-06-01,1998-06-08,1998-06-29,4,0.3200000000000003,0.3200000000000003,2.6315789473684235
